"query","subject","identity_perc","alignment_len","mismatch_num","gap_num","query_start","query_end","subject_start","subject_end","expect","score"
"AT1G15750","TRINITY_DN100007_c0_g1_i5_1_2253_793",27.273,99,69,2,850,948,237,332,1.1,33.9
"AT1G11900","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.614,285,208,3,69,352,420,701,1.49e-24,106
"AT1G20080","TRINITY_DN100002_c0_g1_i3_1_299_3406",41.892,74,37,2,262,332,35,105,8.15e-07,52.8
"AT1G32530","TRINITY_DN100000_c0_g1_i1_1_76_1308",30.909,55,34,2,653,707,359,409,0.081,36.6
"AT1G68600","TRINITY_DN100010_c0_g1_i4_1_213_2078",52.113,568,230,8,1,531,39,601,0,542
"AT1G11710","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.977,645,447,9,13,646,77,708,6.39e-68,239
"AT1G50410","TRINITY_DN100017_c0_g1_i1_2_3342_451",32.258,155,102,2,828,979,581,735,4.88e-14,77.4
"AT1G66360","TRINITY_DN100002_c0_g1_i2_1_299_3421",32.143,56,38,0,25,80,654,709,0.000129,42
"AT1G66345","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.442,452,335,1,91,540,136,587,8.33e-48,178
"AT1G12300","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.014,517,367,0,94,610,252,768,2.51e-78,268
"AT1G53590","TRINITY_DN100002_c0_g1_i3_1_299_3406",25.466,161,94,6,281,418,32,189,0.01,40
"AT1G73950","TRINITY_DN100000_c0_g1_i1_1_76_1308",31.944,72,42,2,401,465,339,410,0.000209,44.3
"AT1G68120","TRINITY_DN100022_c8_g1_i3_1_1038_241",56.589,129,51,1,142,270,143,266,8.24e-51,171
"AT1G63130","TRINITY_DN100008_c0_g2_i1_1_534_2876",32.962,449,301,0,149,597,279,727,1.56e-80,273
"AT1G62350","TRINITY_DN100008_c0_g2_i1_1_534_2876",20.879,91,72,0,69,159,524,614,0.081,34.3
"AT1G60490","TRINITY_DN100002_c0_g1_i3_1_299_3406",27.368,95,42,4,80,151,351,441,2.7,32.3
"AT1G11630","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.804,255,178,1,125,379,225,478,1.44e-28,119
"AT1G15380","TRINITY_DN100022_c6_g2_i1_1_151_657",61.194,134,45,2,3,129,36,169,6.19e-52,167
"AT1G20300","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.125,384,274,2,150,532,280,662,6.3e-45,170
"AT1G67780","TRINITY_DN100009_c0_g1_i2_2_4173_460",32.673,101,51,5,11,105,163,252,0.000214,44.7
"AT1G22610","TRINITY_DN100002_c0_g1_i3_1_299_3406",43.349,1075,493,28,1,1029,32,1036,0,765
"AT1G20550","TRINITY_DN100017_c0_g1_i4_2_3564_1420",23.49,149,85,5,368,513,315,437,7,30
"AT1G37130","TRINITY_DN100020_c0_g1_i3_1_86_1510",37.5,88,52,2,531,616,21,107,5.2e-08,57
"AT1G48630","TRINITY_DN100007_c0_g1_i5_1_2253_793",25,228,148,6,66,272,117,342,1.33e-11,65.9
"AT1G06270","TRINITY_DN100008_c0_g2_i1_1_534_2876",21.034,290,226,3,53,341,303,590,8.14e-17,82
"AT1G74330","TRINITY_DN100003_c0_g1_i4_1_835_260",29.775,178,97,6,253,409,21,191,5.95e-11,63.2
"AT1G18080","TRINITY_DN100007_c0_g1_i5_1_2253_793",25.551,227,149,5,66,273,117,342,7.97e-13,69.3
"AT1G48310","TRINITY_DN100017_c0_g1_i1_2_3342_451",23.946,522,286,20,172,608,209,704,2.06e-21,100
"AT1G76540","TRINITY_DN100003_c0_g1_i4_1_835_260",27.907,172,98,4,155,304,22,189,1.1e-14,72
"AT1G05670","TRINITY_DN100008_c0_g2_i1_1_534_2876",33.819,618,395,4,93,704,130,739,4.24e-114,367
"AT1G63080","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.017,603,417,4,10,608,154,755,1.25e-85,287
"AT1G63070","TRINITY_DN100008_c0_g2_i1_1_534_2876",32.589,448,298,3,143,587,279,725,8.04e-79,268
"AT1G71210","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.502,651,459,11,115,737,127,766,1.63e-32,136
"AT1G62370","TRINITY_DN100000_c0_g1_i1_1_76_1308",31.667,60,36,3,150,204,350,409,0.003,38.5
"AT1G62310","TRINITY_DN100009_c0_g1_i2_2_4173_460",48.134,536,256,9,197,713,178,710,8.32e-164,514
"AT1G62590","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.655,580,402,2,24,601,152,727,2.15e-82,279
"AT1G22180","TRINITY_DN100023_c0_g1_i3_2_2612_1296",29.167,96,60,4,150,241,243,334,0.083,35
"AT1G70180","TRINITY_DN100004_c2_g1_i1_1_1_777",40.179,112,61,2,349,456,148,257,4.39e-14,72.8
"AT1G67800","TRINITY_DN100000_c0_g1_i1_1_76_1308",32.075,53,29,3,408,453,357,409,0.15,35
"AT1G80490","TRINITY_DN100007_c0_g1_i3_1_1800_340",27.273,99,69,2,839,937,237,332,0.87,34.3
"AT1G12775","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.991,545,387,0,70,614,228,772,1.28e-81,277
"AT1G08110","TRINITY_DN100022_c6_g2_i1_1_151_657",21.831,142,85,3,78,217,51,168,0.25,32.3
"AT1G27840","TRINITY_DN100007_c0_g1_i3_1_1800_340",21.622,185,125,6,59,233,171,345,0.9,32.7
"AT1G09060","TRINITY_DN100009_c0_g1_i2_2_4173_460",30.836,694,393,15,28,680,41,688,2.17e-99,341
"AT1G68825","TRINITY_DN100001_c8_g3_i1_1_92_832",36.364,33,13,1,3,35,111,135,6.8,24.3
"AT1G62262","TRINITY_DN100017_c0_g1_i3_2_2453_246",25.21,119,68,5,154,268,473,574,9.3,28.9
"AT1G34042","TRINITY_DN100002_c0_g1_i2_1_299_3421",33.333,42,23,1,4,40,715,756,2.4,26.9
"AT1G50954","TRINITY_DN100023_c0_g1_i3_2_2612_1296",38.462,26,13,1,7,29,336,361,5.4,24.3
"AT1G21651","TRINITY_DN100007_c0_g1_i3_1_1800_340",25.688,218,123,9,581,769,130,337,0.003,41.6
"AT1G64561","TRINITY_DN100003_c0_g1_i8_2_4159_3698",31.429,35,24,0,38,72,5,39,9.3,25
"AT1G01560","TRINITY_DN100003_c0_g1_i4_1_835_260",28.177,181,92,4,174,327,21,190,2.06e-12,66.2
"AT1G75370","TRINITY_DN100023_c0_g1_i1_2_2693_1296",47.009,351,177,2,55,405,72,413,8.09e-117,362
"AT1G79990","TRINITY_DN100007_c0_g1_i5_1_2253_793",22.358,246,169,7,257,484,102,343,3.64e-05,48.1
"AT1G62914","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.735,449,311,0,58,506,296,744,2.2e-76,259
"AT1G64583","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.254,433,302,0,55,487,300,732,1.39e-65,229
"AT1G13350","TRINITY_DN100003_c0_g1_i4_1_835_260",34.483,174,106,3,613,786,25,190,4.33e-22,97.1
"AT1G63900","TRINITY_DN100000_c0_g1_i1_1_76_1308",28.646,192,104,9,170,345,235,409,1.04e-10,63.2
"AT1G18900","TRINITY_DN100008_c0_g2_i1_1_534_2876",31.267,371,245,6,385,750,267,632,2.79e-42,166
"AT1G76280","TRINITY_DN100008_c0_g2_i1_1_534_2876",19.948,386,276,9,331,709,388,747,2.54e-10,64.7
"AT1G08600","TRINITY_DN100017_c0_g1_i1_2_3342_451",33.11,598,318,20,719,1300,209,740,1.06e-76,277
"AT1G49540","TRINITY_DN100007_c0_g1_i3_1_1800_340",24.444,225,105,7,81,259,125,330,0.000297,44.7
"AT1G48590","TRINITY_DN100002_c0_g1_i3_1_299_3406",31.169,77,53,0,33,109,621,697,2.76e-05,44.7
"AT1G52360","TRINITY_DN100007_c0_g1_i5_1_2253_793",21.862,247,169,8,86,313,102,343,0.000189,45.8
"AT1G21650","TRINITY_DN100007_c0_g1_i3_1_1800_340",25.688,218,123,9,581,769,130,337,0.004,42.4
"AT1G57870","TRINITY_DN100003_c0_g1_i4_1_835_260",28.324,173,98,4,217,367,22,190,1.19e-12,67.4
"AT1G26330","TRINITY_DN100007_c0_g1_i3_1_1800_340",29.091,55,37,2,1136,1189,130,183,6.4,31.6
"AT1G03365","TRINITY_DN100000_c0_g1_i2_1_55_1236",40.909,44,26,0,768,811,342,385,0.000385,44.3
"AT1G11100","TRINITY_DN100017_c0_g1_i1_2_3342_451",30.769,156,105,3,1115,1267,580,735,5.21e-14,77.8
"AT2G02090","TRINITY_DN100017_c0_g1_i1_2_3342_451",30.812,542,295,17,212,723,208,699,6.74e-55,204
"AT2G25170","TRINITY_DN100017_c0_g1_i1_2_3342_451",28.468,555,317,11,268,763,204,737,8.73e-60,224
"AT2G16390","TRINITY_DN100017_c0_g1_i3_2_2453_246",24.205,566,334,18,332,845,188,710,6.23e-26,115
"AT2G25140","TRINITY_DN100001_c8_g3_i1_1_92_832",44.118,34,17,1,202,235,211,242,0.95,33.1
"AT2G41500","TRINITY_DN100007_c0_g1_i5_1_2253_793",25.909,220,125,11,256,444,157,369,4.45e-06,50.1
"AT2G37670","TRINITY_DN100007_c0_g1_i3_1_1800_340",23.431,239,126,9,390,618,142,333,0.01,40
"AT2G23070","TRINITY_DN100003_c0_g1_i4_1_835_260",26.347,167,106,6,264,417,27,189,1.05e-11,64.3
"AT2G04910","TRINITY_DN100010_c0_g1_i2_2_1831_1319",23.214,56,32,2,35,79,91,146,3,27.7
"AT2G48000","TRINITY_DN100008_c0_g2_i1_1_534_2876",32.432,111,61,2,160,261,249,354,1.73e-07,54.3
"AT2G47990","TRINITY_DN100007_c0_g1_i3_1_1800_340",20.312,192,111,4,146,333,124,277,0.16,35
"AT2G26350","TRINITY_DN100000_c0_g1_i1_1_76_1308",30.38,79,48,4,303,379,338,411,1.3,31.6
"AT2G17470","TRINITY_DN100010_c0_g1_i2_1_213_2081",51.138,571,232,10,7,530,52,622,0,530
"AT2G43770","TRINITY_DN100007_c0_g1_i5_1_2253_793",22.807,228,157,6,107,318,125,349,5.24e-11,64.3
"AT2G23780","TRINITY_DN100009_c0_g1_i2_2_4173_460",25.61,82,41,4,9,70,157,238,0.25,33.1
"AT2G43790","TRINITY_DN100003_c0_g1_i4_1_835_260",30.357,168,94,5,203,350,27,191,1.27e-15,75.9
"AT2G19280","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.442,591,392,7,84,662,98,675,3.03e-77,266
"AT2G02150","TRINITY_DN100008_c0_g2_i1_1_534_2876",52.477,747,337,5,21,757,37,775,0,810
"AT2G45740","TRINITY_DN100023_c0_g1_i3_1_205_885",22.321,224,157,8,15,228,10,226,1.99e-07,50.8
"AT2G26790","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.028,578,382,8,212,773,206,765,2.09e-62,226
"AT2G38220","TRINITY_DN100000_c0_g1_i2_1_55_1236",39.13,46,27,1,351,395,340,385,2.59e-05,46.6
"AT2G46910","TRINITY_DN100001_c8_g3_i1_1_92_832",25.333,75,54,1,59,131,64,138,0.13,33.9
"AT2G18180","TRINITY_DN100023_c0_g1_i1_2_2693_1296",50.161,311,150,2,27,337,72,377,2.26e-112,347
"AT2G18170","TRINITY_DN100003_c0_g1_i4_1_835_260",30.357,168,94,5,172,320,27,190,4.59e-12,65.1
"AT2G23530","TRINITY_DN100009_c0_g1_i2_2_4173_460",34.426,61,35,3,165,225,190,245,0.005,40.4
"AT2G30530","TRINITY_DN100009_c0_g1_i2_2_4173_460",27.273,77,51,3,26,101,365,437,0.11,35.4
"AT2G26060","TRINITY_DN100007_c0_g1_i3_1_1800_340",21.212,231,156,9,127,350,123,334,1.2,31.6
"AT2G35420","TRINITY_DN100009_c0_g1_i2_2_4173_460",31.579,57,31,3,97,145,181,237,6.2,28.9
"AT2G39230","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.623,722,459,6,81,800,126,771,6.47e-76,266
"AT2G42880","TRINITY_DN100003_c0_g1_i4_1_835_260",30.814,172,90,6,165,316,27,189,2.93e-11,63.9
"AT2G35330","TRINITY_DN100000_c0_g1_i1_1_76_1308",29.412,51,36,0,684,734,359,409,0.006,40.4
"AT2G19430","TRINITY_DN100007_c0_g1_i5_1_2253_793",31.944,72,47,2,158,228,113,183,0.015,37.7
"AT2G16405","TRINITY_DN100007_c0_g1_i3_1_1800_340",20,220,143,5,176,378,127,330,0.005,40
"AT2G21040","TRINITY_DN100002_c0_g1_i3_1_299_3406",26.761,71,47,2,18,83,35,105,0.001,40.8
"AT2G31725","TRINITY_DN100006_c2_g1_i4_1_773_1303",31.25,32,22,0,9,40,91,122,4.1,27.7
"AT2G21010","TRINITY_DN100002_c0_g1_i3_1_299_3406",41.071,56,27,2,2,54,52,104,9.52e-06,47
"AT2G22900","TRINITY_DN100008_c0_g2_i1_1_534_2876",35.417,48,30,1,230,277,486,532,4.8,30.4
"AT2G20940","TRINITY_DN100002_c0_g1_i3_1_299_3406",42.5,40,21,1,67,104,602,641,1.6,28.9
"AT2G22840","TRINITY_DN100009_c0_g1_i2_2_4173_460",45.161,31,17,0,197,227,50,80,0.29,34.7
"AT2G20020","TRINITY_DN100022_c7_g1_i4_1_3_1295",64.599,274,97,0,180,453,2,275,3.11e-123,378
"AT2G21390","TRINITY_DN100007_c0_g1_i3_1_1800_340",22.059,272,148,10,23,287,128,342,3.66e-05,48.5
"AT2G45430","TRINITY_DN100022_c7_g1_i4_1_3_1295",26.761,71,43,2,92,157,148,214,5.8,29.3
"AT2G40120","TRINITY_DN100003_c0_g1_i4_1_835_260",37.87,169,99,3,403,565,23,191,5.26e-26,107
"AT2G22040","TRINITY_DN100007_c0_g1_i5_1_2253_793",26.154,130,85,5,13,133,226,353,1.25e-06,50.4
"AT2G18090","TRINITY_DN100007_c0_g1_i5_1_2253_793",35.185,54,29,1,597,644,19,72,2.5,32.3
"AT2G46210","TRINITY_DN100020_c0_g1_i3_1_86_1510",63.111,450,163,3,1,449,28,475,0,603
"AT2G13370","TRINITY_DN100017_c0_g1_i1_2_3342_451",31.765,510,294,13,625,1087,209,711,5.04e-62,232
"AT2G46290","TRINITY_DN100007_c0_g1_i5_1_2253_793",27.439,164,104,5,190,343,171,329,1.72e-08,56.6
"AT2G47410","TRINITY_DN100007_c0_g1_i3_1_1800_340",23.305,236,130,6,243,428,121,355,6.57e-08,57.8
"AT2G17140","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.753,681,431,10,7,664,129,771,2.82e-77,270
"AT2G30910","TRINITY_DN100007_c0_g1_i5_1_2253_793",23.656,186,118,6,7,174,153,332,9.2,28.9
"AT2G21380","TRINITY_DN100000_c0_g1_i1_1_76_1308",24.561,57,38,1,1007,1058,355,411,1.1,33.5
"AT2G15980","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.926,459,293,10,59,487,112,553,6.77e-36,142
"AT2G33570","TRINITY_DN100021_c0_g2_i1_1_209_1957",22.936,109,69,5,234,339,302,398,0.048,37
"AT2G16780","TRINITY_DN100007_c0_g1_i5_1_2253_793",27,100,62,3,181,270,264,362,0.15,35
"AT2G42040","TRINITY_DN100009_c0_g1_i2_2_4173_460",30.208,96,41,4,143,222,13,98,0.12,34.7
"AT2G46070","TRINITY_DN100003_c0_g1_i4_1_835_260",29.31,174,99,5,175,328,21,190,2.47e-12,65.9
"AT2G18760","TRINITY_DN100017_c0_g1_i1_2_3342_451",31.173,571,305,14,381,898,205,740,9.93e-71,256
"AT2G33080","TRINITY_DN100018_c8_g1_i5_1_1087_305",29.371,143,97,3,124,262,116,258,0.025,37.7
"AT2G46020","TRINITY_DN100017_c0_g1_i1_2_3342_451",31.944,504,282,16,969,1429,199,684,5.07e-57,217
"AT2G37230","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.4,500,321,5,152,613,283,773,4.76e-53,197
"AT2G25470","TRINITY_DN100018_c8_g1_i5_1_1087_305",27.363,201,140,4,126,322,43,241,7.54e-05,46.2
"AT2G25490","TRINITY_DN100018_c8_g1_i5_1_1087_305",25.753,299,153,12,318,616,29,258,1.67e-06,50.4
"AT2G45700","TRINITY_DN100004_c2_g1_i1_1_1_777",51.02,49,23,1,248,296,208,255,5.78e-05,46.2
"AT2G45480","TRINITY_DN100009_c0_g1_i2_2_4173_460",38.095,42,26,0,310,351,54,95,0.063,36.6
"AT2G25420","TRINITY_DN100007_c0_g1_i3_1_1800_340",32.468,77,42,2,499,565,258,334,0.005,40.4
"AT2G40730","TRINITY_DN100003_c0_g1_i2_1_1060_611",27.586,58,35,1,220,277,64,114,2.2,31.2
"AT2G15630","TRINITY_DN100008_c0_g2_i1_1_534_2876",31.667,600,397,6,29,616,77,675,9.07e-87,290
"AT2G18940","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.342,596,397,6,156,750,196,750,3.71e-60,219
"AT2G40810","TRINITY_DN100007_c0_g1_i3_1_1800_340",28.302,53,37,1,179,231,281,332,0.2,34.3
"AT2G21240","TRINITY_DN100022_c8_g1_i3_1_1038_241",58.879,107,44,0,190,296,160,266,7.44e-43,151
"AT2G40360","TRINITY_DN100007_c0_g1_i5_1_2253_793",20.364,275,174,9,426,686,117,360,0.079,37
"AT2G40770","TRINITY_DN100017_c0_g1_i1_2_3342_451",28.497,193,126,4,1436,1626,566,748,1.94e-13,76.3
"AT2G16380","TRINITY_DN100023_c0_g1_i3_2_2612_1296",51.515,297,141,1,28,324,67,360,5.44e-109,337
"AT2G30780","TRINITY_DN100008_c0_g2_i1_1_534_2876",20,310,204,7,134,440,312,580,3.9e-07,53.1
"AT2G15820","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.699,346,245,8,250,592,398,727,7.39e-11,66.6
"AT2G17530","TRINITY_DN100003_c0_g1_i4_1_835_260",31.892,185,101,6,249,416,14,190,9.81e-21,90.9
"AT2G32950","TRINITY_DN100007_c0_g1_i3_1_1800_340",26.882,186,113,7,423,587,159,342,1.77e-05,48.5
"AT2G17525","TRINITY_DN100008_c0_g2_i1_1_534_2876",26.895,554,377,7,59,605,141,673,1.79e-54,200
"AT2G18900","TRINITY_DN100007_c0_g1_i3_1_1800_340",38.636,44,22,1,279,317,152,195,8,30.4
"AT2G47340","TRINITY_DN100002_c0_g1_i2_1_299_3421",23.81,84,56,2,39,115,179,261,6.9,28.9
"AT2G46340","TRINITY_DN100007_c0_g1_i5_1_2253_793",25.301,166,100,7,778,921,168,331,0.033,38.5
"AT2G40240","TRINITY_DN100008_c0_g2_i1_1_534_2876",21.091,275,215,1,42,314,284,558,2.04e-16,80.9
"AT2G33340","TRINITY_DN100007_c0_g1_i5_1_2253_793",23.585,212,131,7,237,424,129,333,8.96e-08,55.1
"AT2G18520","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.098,368,232,9,38,363,257,615,8.95e-21,95.5
"AT2G43900","TRINITY_DN100007_c0_g1_i3_1_1800_340",23.81,231,140,10,184,381,123,350,0.04,38.9
"AT2G16650","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.37,119,88,2,90,208,402,518,0.12,35.8
"AT2G47790","TRINITY_DN100007_c0_g1_i5_1_2253_793",39.13,46,24,1,77,122,297,338,2.4,30.8
"AT2G26490","TRINITY_DN100007_c0_g1_i3_1_1800_340",28.958,259,144,11,156,388,109,353,5.45e-12,68.2
"AT2G05720","TRINITY_DN100007_c0_g1_i5_1_2253_793",25.229,218,134,10,65,270,116,316,0.006,38.5
"AT2G28840","TRINITY_DN100000_c0_g1_i1_1_76_1308",30,70,40,2,307,376,347,407,0.041,37
"AT2G28420","TRINITY_DN100022_c6_g2_i1_1_151_657",52.344,128,58,2,13,138,43,169,1.29e-42,144
"AT2G01540","TRINITY_DN100002_c0_g1_i3_1_299_3406",38.462,39,24,0,26,64,53,91,0.001,39.7
"AT2G36400","TRINITY_DN100009_c0_g1_i2_2_4173_460",42.5,40,23,0,145,184,50,89,0.012,38.5
"AT2G17020","TRINITY_DN100018_c8_g1_i5_1_1087_305",26.141,241,143,10,313,530,31,259,7.79e-06,48.5
"AT2G30100","TRINITY_DN100008_c0_g2_i1_1_534_2876",19.753,324,202,8,175,460,341,644,8.68e-05,45.8
"AT2G21540","TRINITY_DN100023_c0_g1_i3_2_2612_1296",50.765,327,159,1,41,367,72,396,2.51e-118,361
"AT2G31400","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.493,365,260,1,239,603,287,650,7.3e-54,201
"AT2G01670","TRINITY_DN100006_c2_g1_i3_1_773_1276",30.612,49,34,0,73,121,25,73,0.23,32
"AT2G30230","TRINITY_DN100023_c0_g1_i3_1_205_885",29.412,85,52,3,39,116,94,177,0.13,32.7
"AT2G17050","TRINITY_DN100018_c8_g1_i5_1_1087_305",25.352,213,132,8,506,699,44,248,0.000448,44.3
"AT2G34260","TRINITY_DN100007_c0_g1_i5_1_2253_793",23.602,161,101,7,62,205,125,280,0.039,36.6
"AT2G01450","TRINITY_DN100003_c0_g1_i4_1_835_260",30.12,166,89,5,166,307,27,189,2.61e-12,66.6
"AT2G32230","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.277,173,120,3,104,275,428,590,2.68e-08,57.4
"AT2G01360","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.161,155,99,5,2,144,486,635,2e-06,47
"AT2G01390","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.818,548,341,11,14,515,243,765,1e-30,128
"AT2G11000","TRINITY_DN100021_c0_g2_i2_1_195_1922",25,100,66,4,440,538,291,382,3,31.6
"AT2G31300","TRINITY_DN100007_c0_g1_i5_1_2253_793",23.656,186,118,6,7,174,153,332,8.7,29.3
"AT2G30980","TRINITY_DN100003_c0_g1_i4_1_835_260",30.058,173,95,4,207,357,22,190,4.09e-14,71.6
"AT2G30050","TRINITY_DN100007_c0_g1_i5_1_2253_793",23.967,121,66,5,182,286,220,330,7.8,28.9
"AT2G32630","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.709,519,356,4,103,616,164,673,3.86e-66,233
"AT2G38420","TRINITY_DN100008_c0_g2_i1_1_534_2876",25,428,270,8,67,453,346,763,1.66e-28,119
"AT2G31345","TRINITY_DN100002_c0_g1_i3_3_2349_1807",37.143,35,21,1,4,38,12,45,1.5,26.9
"AT2G01470","TRINITY_DN100007_c0_g1_i3_1_1800_340",27.536,69,31,2,158,226,308,357,5.2,30
"AT2G27950","TRINITY_DN100000_c0_g1_i1_1_76_1308",28.846,52,36,1,786,836,358,409,8.1,30.4
"AT2G36240","TRINITY_DN100008_c0_g2_i1_1_534_2876",32.716,324,217,1,164,487,288,610,4.03e-47,175
"AT2G20710","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.132,281,211,4,127,404,267,545,7.93e-13,71.6
"AT2G32720","TRINITY_DN100020_c0_g1_i3_1_86_1510",43.038,79,43,2,1,78,28,105,3.43e-13,66.6
"AT2G01860","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.648,142,107,0,334,475,287,428,3.28e-07,53.5
"AT2G35550","TRINITY_DN100022_c8_g1_i4_1_1032_241",69.106,123,38,0,149,271,142,264,4.1e-59,192
"AT2G01930","TRINITY_DN100022_c8_g1_i4_1_1032_241",67.568,111,36,0,173,283,154,264,4.05e-53,177
"AT2G28050","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.92,313,232,3,142,453,319,629,6.69e-25,108
"AT2G06200","TRINITY_DN100009_c0_g1_i2_2_4173_460",25,92,63,2,27,118,2,87,1.1,31.2
"AT2G20330","TRINITY_DN100007_c0_g1_i3_1_1800_340",27.619,105,66,2,329,433,116,210,0.003,40.8
"AT2G34920","TRINITY_DN100000_c0_g1_i1_1_76_1308",29.412,51,35,1,598,647,359,409,4.3,30.8
"AT2G21450","TRINITY_DN100017_c0_g1_i1_2_3342_451",25,556,334,18,255,771,199,710,3.6e-30,129
"AT2G27800","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.67,376,192,9,146,435,132,498,7.13e-23,102
"AT2G32090","TRINITY_DN100022_c6_g2_i1_1_151_657",28.682,129,80,4,1,126,48,167,1.69e-07,47.8
"AT2G28480","TRINITY_DN100022_c7_g1_i4_1_3_1295",23.333,120,73,4,133,252,52,152,0.021,37.4
"AT2G07727","TRINITY_DN100001_c8_g1_i8_1_135_1100",30.769,39,27,0,39,77,94,132,5.8,29.6
"AT2G36350","TRINITY_DN100003_c0_g1_i2_1_1060_611",41.509,53,31,0,796,848,43,95,3.83e-05,45.4
"AT2G01330","TRINITY_DN100007_c0_g1_i3_1_1800_340",25.943,212,122,7,323,527,154,337,6.61e-05,46.2
"AT2G06000","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.659,349,240,2,175,522,285,632,1.71e-54,198
"AT2G16880","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.951,639,439,7,51,685,134,761,4.1e-81,278
"AT2G27240","TRINITY_DN100010_c0_g1_i4_1_213_2078",30.194,361,229,4,2,361,98,436,6.25e-57,202
"AT2G01740","TRINITY_DN100008_c0_g2_i1_1_534_2876",36.201,558,346,4,1,551,226,780,3.26e-124,387
"AT2G46650","TRINITY_DN100020_c0_g1_i3_1_86_1510",35.294,85,53,2,5,88,36,119,2.67e-10,58.2
"AT2G17033","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.232,198,108,4,196,358,417,605,7.17e-06,49.3
"AT2G23080","TRINITY_DN100003_c0_g1_i4_1_835_260",27.647,170,104,7,166,321,27,191,2.14e-13,68.6
"AT2G28290","TRINITY_DN100017_c0_g1_i1_2_3342_451",31.961,510,290,16,754,1217,209,707,4.34e-60,228
"AT2G23130","TRINITY_DN100002_c0_g1_i3_1_299_3406",30.882,68,44,1,51,115,179,246,4.8,28.5
"AT2G46280","TRINITY_DN100007_c0_g1_i5_1_2253_793",21.967,305,147,8,12,316,116,329,6.01e-09,57.8
"AT2G42830","TRINITY_DN100002_c0_g1_i2_1_299_3421",23.469,98,69,1,93,184,13,110,3.3,29.6
"AT2G44980","TRINITY_DN100017_c0_g1_i1_2_3342_451",29.525,569,317,21,51,566,209,746,4.35e-51,194
"AT2G17670","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.389,386,282,4,61,446,293,672,1.53e-42,161
"AT2G41720","TRINITY_DN100008_c0_g2_i1_1_534_2876",24.871,583,429,3,128,709,195,769,7.68e-55,203
"AT2G38620","TRINITY_DN100003_c0_g1_i4_1_835_260",30.058,173,87,6,159,305,27,191,3.94e-13,67.4
"AT2G37160","TRINITY_DN100007_c0_g1_i3_1_1800_340",30.435,69,48,0,335,403,117,185,0.000428,43.5
"AT2G38195","TRINITY_DN100000_c0_g1_i2_1_55_1236",38.889,54,32,1,347,399,341,394,8.71e-06,48.1
"AT2G36854","TRINITY_DN100019_c1_g2_i2_1_286_735",30.357,56,36,2,4,56,58,113,0.098,30
"AT2G21520","TRINITY_DN100023_c0_g1_i1_2_2693_1296",51.186,295,139,2,57,351,72,361,3.25e-107,336
"AT2G15860","TRINITY_DN100009_c0_g1_i2_2_4173_460",22.581,155,91,6,35,176,417,555,8.4,30
"AT2G45540","TRINITY_DN100007_c0_g1_i5_1_2253_793",21.514,251,154,7,2668,2905,102,322,7.95e-05,48.5
"AT2G20990","TRINITY_DN100002_c0_g1_i2_1_299_3421",40.278,72,37,2,302,370,37,105,5.69e-07,53.1
"AT2G21385","TRINITY_DN100006_c3_g1_i2_1_185_751",34,50,31,1,103,150,119,168,8.3,28.5
"AT2G35130","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.187,423,303,3,175,596,314,732,2.82e-36,145
"AT2G32700","TRINITY_DN100007_c0_g1_i5_1_2253_793",31.522,92,49,3,532,610,159,249,0.36,34.7
"AT2G38185","TRINITY_DN100000_c0_g1_i1_1_76_1308",38.571,70,33,3,379,445,347,409,8.11e-07,51.6
